entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,long_prem,short_prem,net_debit,long_settle,short_settle,final_pnl
2025-12-16 13:20:00,2025-12-16 13:20:00,direct_entry,2025-12-30 16:00:00,expiry,6830,7000,84.4739,24.8004,59.6735,113.0000,0.0000,53.3265
2025-12-17 13:55:00,2025-12-17 13:55:00,direct_entry,2025-12-31 16:00:00,expiry,6790,6960,84.2867,24.5530,59.7337,104.5000,0.0000,44.7663
2026-01-05 19:20:00,2026-01-05 19:20:00,direct_entry,2026-01-19 18:00:00,expiry,6940,7120,87.5337,24.1574,63.3763,0.0000,0.0000,-63.3763
2026-01-19 00:20:00,2026-01-19 00:20:00,direct_entry,2026-02-02 16:00:00,expiry,6920,7090,87.2257,26.8003,60.4254,81.2500,0.0000,20.8246
2026-01-20 04:40:00,2026-01-20 04:40:00,direct_entry,2026-02-03 16:00:00,expiry,6850,7030,88.9232,24.9568,63.9663,94.5000,0.0000,30.5337
2026-02-04 12:50:00,2026-02-04 12:50:00,direct_entry,2026-02-18 16:00:00,expiry,6880,7050,84.5171,25.0208,59.4963,14.0000,0.0000,-45.4963
2026-02-05 18:55:00,2026-02-05 18:55:00,direct_entry,2026-02-19 16:00:00,expiry,6770,6940,84.8151,24.5058,60.3094,109.5000,0.0000,49.1906
2026-02-20 09:30:00,2026-02-20 09:30:00,direct_entry,2026-03-06 16:00:00,expiry,6860,7040,88.2692,24.5416,63.7276,0.0000,0.0000,-63.7276
2026-03-01 19:00:00,2026-03-01 19:00:00,direct_entry,2026-03-16 16:00:00,expiry,6820,6990,85.9954,26.0956,59.8998,0.0000,0.0000,-59.8998
2026-03-03 05:15:00,2026-03-03 05:15:00,direct_entry,2026-03-17 16:00:00,expiry,6760,6940,87.9698,24.2051,63.7647,14.0000,0.0000,-49.7647
2026-03-08 22:20:00,2026-03-08 22:20:00,direct_entry,2026-03-23 16:00:00,expiry,6600,6770,82.4756,23.6776,58.7979,22.5000,0.0000,-36.2979
2026-03-20 15:40:00,2026-03-20 15:40:00,direct_entry,2026-03-27 16:55:00,force_close,6550,6710,79.8811,23.8599,56.0212,0.0000,0.0000,-56.0212
2026-03-26 15:45:00,2026-03-26 15:45:00,direct_entry,2026-03-27 16:55:00,force_close,6530,6690,81.0553,24.2816,56.7737,0.0000,0.0000,-56.7737
2026-03-27 09:15:00,2026-03-27 09:15:00,direct_entry,2026-03-27 16:55:00,force_close,6490,6650,80.2086,24.0113,56.1973,0.0000,0.0000,-56.1973
